Idx,Book,Ref.,KJB Verse,KJB Word,Original,Transliteration,Definition
"1","Gen","Gen 2:24","Therefore shall a man leave **his father[H1]** and his mother, and shall cleave unto his wife: and they shall be one flesh","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"2","Gen","Gen 4:20","And Adah bare Jabal: **he was the father[H1]** of such as dwell in tents, and of such as have cattle","he was the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"3","Gen","Gen 4:21","And his brother's name was Jubal: **he was the father[H1]** of all such as handle the harp and organ","he was the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"4","Gen","Gen 9:18","¶ And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham **is the father[H1]** of Canaan","is the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"5","Gen","Gen 9:22","And Ham, **the father[H1]** of Canaan, saw the nakedness **of his father[H1]**, and told his two brethren without","the father, of his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"6","Gen","Gen 9:23","And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness **of their father[H1]**; and their faces were backward, and they saw **not their father's[H1]** nakedness","of their father, not their fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"7","Gen","Gen 10:21","¶ Unto Shem **also, the father[H1]** of all the children of Eber, the brother of Japheth the elder, even to him were children born","also the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"8","Gen","Gen 11:28","And Haran died before **his father[H1]** Terah in the land of his nativity, in Ur of the Chaldees","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"9","Gen","Gen 11:29","And Abram and Nahor took them wives: the name of Abram's wife was Sarai; and the name of Nahor's wife, Milcah, the daughter of Haran, **the father[H1]** of Milcah, **and the father[H1]** of Iscah","the father, and the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"10","Gen","Gen 12:1","¶ Now the LORD had said unto Abram, Get thee out of thy country, and from thy kindred, **and from thy father's[H1]** house, unto a land that I will shew","and from thy fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
